S/N,Attraction,Short Description,Category,Avg. Time Spent,Google Ratings
1,Marina Bay Sands,Iconic hotel with SkyPark offering panoramic city views,Scenic,2-3 hours,4.7
2,Gardens by the Bay,Futuristic gardens featuring Supertrees and greenhouses,Scenic,2-3 hours,4.8
3,Merlion Park,Landmark park with iconic Merlion statue overlooking bay,Scenic,1 hour,4.5
4,Chinatown,"Vibrant district with markets, temples, and heritage sites",Cultural,2-3 hours,4.6
5,Little India,Colorful neighborhood with temples and Indian cuisine,Cultural,2-3 hours,4.5
6,Sentosa Island,"Resort island offering beaches, theme parks, and attractions",Adventure/Scenic,Full day,4.6
7,Singapore Zoo,Award-winning zoo with diverse animal exhibits,Adventure,Half to full day,4.6
8,River Safari,River-themed zoo featuring wildlife from various rivers,Adventure,Half to full day,4.5
9,Night Safari,Nocturnal zoo experience with tram rides and night shows,Adventure,Evening,4.6
10,Orchard Road,Famous shopping street with luxury boutiques and malls,Shopping,2-3 hours,4.6
11,Clarke Quay,"Riverside area known for dining, nightlife, and river cruises",Leisure,Evening,4.4
12,Singapore Flyer,Giant Ferris wheel offering panoramic city views,Scenic,1 hour,4.6
13,Buddha Tooth Relic Temple,Lavish temple housing Buddha relic,Cultural,1-2 hours,4.6
14,Singapore Botanic Gardens,UNESCO-listed gardens with lush landscapes,Scenic,2-3 hours,4.8
15,Kampong Glam,Historic Malay district with mosques and trendy cafes,Cultural,1-2 hours,4.5
16,Haji Lane,Colorful street known for its indie boutiques and cafes,Cultural,1-2 hours,4.6
17,Haw Par Villa,Quirky theme park depicting Chinese mythology,Cultural,1-2 hours,4.2
18,ArtScience Museum,Unique museum with interactive art and science exhibits,Cultural,2-3 hours,4.5
19,National Gallery Singapore,Art museum housed in historic buildings,Cultural,2-3 hours,4.6
20,Singapore Botanic Gardens,UNESCO-listed gardens with lush landscapes,Scenic,2-3 hours,4.8
21,Marina Barrage,Green space offering panoramic views of city skyline,Scenic,1-2 hours,4.6
22,Peranakan Museum,Museum showcasing Peranakan culture and heritage,Cultural,1-2 hours,4.5
